k,dist,meth,sil
4,manhattan,ward.D,0.24296915820848838
6,manhattan,ward.D2,0.24287798093299556
5,manhattan,single,0.24263912443271288
8,manhattan,complete,0.24117206646477882
4,minkowski_1.5,ward.D,0.24028529949932775
4,manhattan,single,0.238172509356622
5,manhattan,ward.D,0.2358675883396258
2,canberra,complete,0.23563894483075215
4,minkowski_1.5,complete,0.23396759759984836
3,canberra,complete,0.2337311492428909
5,euclidian,ward.D,0.2333723387858318
3,canberra,ward.D2,0.23336944608192056
4,maximum,single,0.23321398925770734
3,minkowski_1.5,ward.D2,0.23304590325381783
4,canberra,complete,0.2319755333483856
6,manhattan,ward.D,0.23076952694231806
6,minkowski_1.5,complete,0.22898575526703702
2,canberra,ward.D2,0.2276108102056339
10,minkowski_0.5,centroid,0.22751703604496534
5,canberra,complete,0.22712949780825253
6,canberra,complete,0.22704124816209795
3,minkowski_0.5,single,0.22697101648175147
5,minkowski_1.5,complete,0.22593916090563768
5,minkowski_1.5,ward.D,0.22491710249663216
8,euclidian,centroid,0.22453917212851074
5,manhattan,complete,0.22311519305141336
8,minkowski_1.5,single,0.22252305498544447
6,euclidian,single,0.22227296732396215
3,canberra,centroid,0.21896212405199303
7,minkowski_1.5,single,0.2183011353119541
5,maximum,centroid,0.21829340322815585
9,canberra,average,0.2176407974719862
8,euclidian,single,0.21630035683169585
9,canberra,ward.D2,0.21484088817305053
9,maximum,complete,0.214607493727843
4,manhattan,complete,0.21145550564338114
8,canberra,average,0.2111077779642705
7,maximum,centroid,0.21056803490890844
5,maximum,single,0.2104619054800774
7,euclidian,single,0.21007616249720043
10,canberra,ward.D2,0.20859846951730265
3,manhattan,ward.D,0.20507008185090023
3,euclidian,ward.D,0.20270245478376742
8,canberra,ward.D2,0.20152013978928618
10,canberra,average,0.19851236751179765
3,maximum,single,0.19812837570832625
3,minkowski_0.5,median,0.19774585162092048
5,canberra,average,0.1964421720312509
4,euclidian,median,0.19618835450671135
3,minkowski_1.5,ward.D,0.19592060508805156
8,maximum,centroid,0.1950914007409728
6,maximum,centroid,0.19499018440489557
3,euclidian,median,0.19231244230014388
9,euclidian,single,0.19217554164934658
10,maximum,complete,0.1902919084670944
7,canberra,ward.D2,0.18989110021153033
4,canberra,single,0.18962587570668107
9,canberra,ward.D,0.18934446810477604
10,canberra,complete,0.18894294566431774
9,euclidian,centroid,0.1861780830976249
9,maximum,centroid,0.18598125119097716
9,canberra,complete,0.18423637781329022
6,canberra,single,0.1829489136416288
8,canberra,single,0.18198546714885222
10,euclidian,centroid,0.1794111013712637
5,canberra,single,0.17864855562264598
6,canberra,ward.D2,0.17724465743517412
3,canberra,single,0.1770768565095736
8,canberra,complete,0.1765567712126134
8,canberra,ward.D,0.1755869421036639
5,euclidian,median,0.17474548894712402
7,canberra,single,0.1744140953075308
6,canberra,average,0.17371072134523033
7,canberra,complete,0.17325667425041527
8,minkowski_1.5,centroid,0.1729572753235567
10,minkowski_1.5,centroid,0.17210816855829963
2,minkowski_0.5,median,0.17048450039556592
6,canberra,ward.D,0.16705267505149354
5,canberra,ward.D2,0.16272468470618653
7,canberra,average,0.16196076664611578
7,canberra,ward.D,0.16028031526071582
7,minkowski_1.5,median,0.15862765914417132
4,canberra,centroid,0.15846995157458504
8,minkowski_1.5,median,0.15464772183111142
